0110237	#10X3/4 FENDWASH SS
"#10 x 0.750"" OD Grade 18-8 Stainless Steel Fender Washer"	
0110752	M5 FENDER WASHER A-2
M5 x 15mm OD DIN 9021 Grade A2 Stainless Steel Fender Washer	
0127107	10.9HCSM6-1.0X75P PT
M6-1.0 x 75mm DIN 931 Class 10.9 Plain Finish Hex Cap Screw	
0135938	12.9SHCS M8-1.25x35z
M8-1.25 x 35mm ISO 4762/DIN 912 Hex Drive Class 12.9 Zinc Finish Alloy Steel Socket Cap Screw	
0135940	12.9SHCS M8-1.25x45z
M8-1.25 x 45mm ISO 4762/DIN 912 Hex Drive Class 12.9 Zinc Finish Alloy Steel Socket Cap Screw	
0135941	12.9SHCS M8-1.25x50z
M8-1.25 x 50mm ISO 4762/DIN 912 Hex Drive Class 12.9 Zinc Finish Alloy Steel Socket Cap Screw	
0135961	12.9SHCS M10-1.5x70z
M10-1.5 x 70mm ISO 4762/DIN 912 Hex Drive Class 12.9 Zinc Finish Alloy Steel Socket Cap Screw	
0135973	12.9SHCS 12-1.75x55z
M12-1.75 x 55mm ISO 4762/DIN 912 Hex Drive Class 12.9 Zinc Finish Alloy Steel Socket Cap Screw	
0141306	10.9 BHSCS M5-.8X6Z
M5-0.8 x 6mm ISO 7380 Hex Drive Class 10.9 Zinc Finish Alloy Steel Button Socket Cap Screw	
0141310	M5-.8X14MM BHSCS ZP
M5-0.8 x 14mm ISO 7380 Hex Drive Class 10.9 Zinc Finish Alloy Steel Button Socket Cap Screw	
0141365	M4-.7X14MM FHSCS ZP
M4-0.7 x 14mm DIN 7991 Hex Drive Class 10.9 Zinc Finish Alloy Steel Flat Socket Cap Screw	
0141367	M4-.7X20MM FHSCS ZP
M4-0.7 x 20mm DIN 7991 Hex Drive Class 10.9 Zinc Finish Alloy Steel Flat Socket Cap Screw	
0141659	3/4-10X2 SSS ZP
"3/4""-10 x 2"" Hex Drive Cup Point Zinc Finish Alloy Steel Socket Set Screw"	
0149141	10-24 MS H/N BLK
10-24 Blk Oxide Hex Machine Screw Nut	
0154262	M5-.8X15 SHCS 12.9
M5-0.8 x 15mm ISO 4762 Hex Drive Class 12.9 Black Oxide Finish Alloy Steel Socket Cap Screw	
0154505	1/4-28X2 SSSCP SS
"1/4""-28 x 2"" Hex Drive Cup Point Grade 18-8 Stainless Steel Socket Set Screw"	
0170527	SS TPHMS6-32x3/16
"#6-32 x 3/16"" Phillips Drive Truss Head Grade 18-8 Stainless Steel Machine Screw"	
0170529	SS TPHMS6-32x3/8
"#6-32 x 3/8"" Phillips Drive Truss Head Grade 18-8 Stainless Steel Machine Screw"	
0170670	SS HXTRMMS6-32x5/8
"#6-32 x 5/8"" Hex - Unslotted Drive Hex Trim Head Grade 18-8 Stainless Steel Machine Screw"	
0170688	SS HXTRMMS10-24x1/2
"#10-24 x 1/2"" Hex - Unslotted Drive Hex Trim Head Grade 18-8 Stainless Steel Machine Screw"	
0171096	SS SHCS 8-32x2 1/4
"#8-32 x 2-1/4"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
0171097	SS SHCS 8-32x2 1/2
"#8-32 x 2-1/2"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
0171117	SS SHCS 10-32x1 1/8
"#10-32 x 1-1/8"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
0171119	SS SHCS 10-32x2 3/4
"#10-32 x 2-3/4"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
0171133	SS SHCS 1/4-20x1 1/8
"1/4""-20 x 1-1/8"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
0171143	SS SHCS 1/4-28x7/8
"1/4""-28 x 7/8"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
0171144	SS SHCS 1/4-28x2 1/4
"1/4""-28 x 2-1/4"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
