Part Number,Type,Diameter,Length
0127107,Hex Cap Screw,M6-1.0,75mm
0135938,Socket Cap Screw,M8-1.25,35mm
0135940,Socket Cap Screw,M8-1.25,45mm
0135941,Socket Cap Screw,M8-1.25,50mm
0135961,Socket Cap Screw,M10-1.5,70mm
0135973,Socket Cap Screw,M12-1.75,55mm
0141306,Button Socket Cap Screw,M5-0.8,6mm
0141310,Button Socket Cap Screw,M5-0.8,14mm
0141365,Flat Socket Cap Screw,M4-0.7,14mm
0141367,Flat Socket Cap Screw,M4-0.7,20mm
0141659,Socket Set Screw,3/4"-10,2"
0154262,Socket Cap Screw,M5-0.8,15mm
0154505,Socket Set Screw,1/4"-28,2"
0170527,Machine Screw,#6-32,3/16"
0170529,Machine Screw,#6-32,3/8"
0170670,Machine Screw,#6-32,5/8"
0170688,Machine Screw,#10-24,1/2"
0171096,Socket Cap Screw,#8-32,2-1/4"
0171097,Socket Cap Screw,#8-32,2-1/2"
0171117,Socket Cap Screw,#10-32,1-1/8"
0171119,Socket Cap Screw,#10-32,2-3/4"
0171133,Socket Cap Screw,1/4"-20,1-1/8"
0171143,Socket Cap Screw,1/4"-28,7/8"
0171144,Socket Cap Screw,1/4"-28,2-1/4"
0171145,Socket Cap Screw,1/4"-28,2-1/2"
0171147,Socket Cap Screw,1/4"-28,3"
0171161,Socket Cap Screw,5/16"-24,2-3/4"
0171606,Socket Set Screw,#10-32,1-1/2"
0172215,Hex Cap Screw,5/16"-24,1-3/8"
0173812,Machine Screw,#6-32,1/4"
0176565,Socket Set Screw,5/16"-24,2"
0177600,Socket Cap Screw,1/4"-20,1-1/8"
0185220,Socket Cap Screw,M10-1.5,20mm
110120302,Hex Cap Screw,1/4"-20,3/4"
110120325,Hex Cap Screw,5/16"-18,1"
110120344,Hex Cap Screw,3/8"-16,1"
110120486,Hex Cap Screw,3/4"-10,1-1/2"
110150189,Interior Wood Screw,#8 - 15,2-1/2"
110150190,Interior Wood Screw,#8 - 9,3"
110161645,Machine Screw,#10-32,1/4"
1123112,Socket Cap Screw,#8-32,1/4"
1123166,Socket Cap Screw,#10-32,3/4"
1123409,Socket Cap Screw,1/2"-13,1-1/2"
1123414,Socket Cap Screw,1/2"-13,2-3/4"
1123423,Socket Cap Screw,1/2"-13,5"
1124090,Button Socket Cap Screw,3/8"-16,3/4"
1125275,Socket Set Screw,#10-32,1/4"
1129880,Machine Screw,#10-32,1/2"
1138662,Hex Cap Screw,M10-1.5,60mm
1139547,Socket Cap Screw,M5-0.8,20mm
1139548,Socket Cap Screw,M5-0.8,25mm
1139618,Socket Cap Screw,M10-1.5,25mm
1139622,Socket Cap Screw,M10-1.5,45mm
1139652,Socket Cap Screw,M12-1.75,20mm
11509526,Button Socket Cap Screw,M5-0.8,50mm
11510020,Button Socket Cap Screw,M4-0.7,6mm
11511422,Button Socket Cap Screw,M5-0.8,6mm
11511658,Flat Socket Cap Screw,M5-0.8,18mm
11567627,Hex Cap Screw,M5-0.8,16mm
11567628,Hex Cap Screw,M5-0.8,20mm
11567638,Hex Cap Screw,M8-1.25,25mm
11567645,Hex Cap Screw,M10-1.5,30mm
11567646,Hex Cap Screw,M10-1.5,35mm
11567648,Hex Cap Screw,M10-1.5,50mm
11567659,Socket Cap Screw,M4-0.7,8mm
11567660,Socket Cap Screw,M4-0.7,10mm
11567661,Socket Cap Screw,M4-0.7,12mm
11567662,Socket Cap Screw,M4-0.7,16mm
11567663,Socket Cap Screw,M4-0.7,25mm
11567664,Socket Cap Screw,M5-0.8,10mm
11567665,Socket Cap Screw,M5-0.8,12mm
11567666,Socket Cap Screw,M5-0.8,16mm
11567667,Socket Cap Screw,M5-0.8,20mm
11567668,Socket Cap Screw,M5-0.8,25mm
11567669,Socket Cap Screw,M5-0.8,30mm
11567670,Socket Cap Screw,M6-1.0,10mm
11567671,Socket Cap Screw,M6-1.0,12mm
11567672,Socket Cap Screw,M6-1.0,16mm
11567673,Socket Cap Screw,M6-1.0,20mm
11567674,Socket Cap Screw,M6-1.0,25mm
11567675,Socket Cap Screw,M6-1.0,30mm
11567676,Socket Cap Screw,M6-1.0,35mm
11567677,Socket Cap Screw,M6-1.0,40mm
11567678,Socket Cap Screw,M6-1.0,50mm
