Part Number,Size,Length,Type,Material,Unit System
MC-304-C,M3,4,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-306-C,M3,6,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-308-C,M3,8,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-310-C,M3,10,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-312-C,M3,12,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-320-C,M3,20,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-406-C,M4,6,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-408-C,M4,8,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-410-C,M4,10,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-412-C,M4,12,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-414-C,M4,14,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-416-C,M4,16,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-420-C,M4,20,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-506-C,M5,6,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-508-C,M5,8,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-512-C,M5,12,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-516-C,M5,16,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-520-C,M5,20,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-525-C,M5,25,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-530-C,M5,30,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-540-C,M5,40,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-550-C,M5,50,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-608-C,M6,8,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-610-C,M6,10,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-612-C,M6,12,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-616-C,M6,16,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-620-C,M6,20,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-625-C,M6,25,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-640-C,M6,40,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
MC-650-C,M6,50,"Screw, Socket Head Cap",A2 Stainless Steel,Metric
C-208-C,#2-56,0.500000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-210-C,#2-56,0.625000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-208-NC,#2-56,0.500000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-402-C,#4-40,0.125000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-403-C,#4-40,0.187500,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-404-C,#4-40,0.250000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-405-C,#4-40,0.312500,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-406-C,#4-40,0.375000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-408-C,#4-40,0.500000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-410-C,#4-40,0.625000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-603-C,#6-32,0.187500,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-604-C,#6-32,0.250000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-605-C,#6-32,0.312500,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-606-C,#6-32,0.375000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-608-C,#6-32,0.500000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-610-C,#6-32,0.625000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-612-C,#6-32,0.750000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-614-C,#6-32,0.875000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-616-C,#6-32,1.000000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-620-C,#6-32,1.250000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-604-NC,#6-32,0.250000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-606-NC,#6-32,0.375000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-610-NC,#6-32,0.625000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-803-C,#8-32,0.187500,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-804-C,#8-32,0.250000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-805-C,#8-32,0.312500,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-806-C,#8-32,0.375000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
C-808-C,#8-32,0.500000,"Screw, Socket Head Cap",18-8 Stainless Steel,Inch
